Policy ID;Policy Name;Coverage Type;Coverage Amount ($);Deductible ($);Premium ($);Policy Term (Years);Additional Features;Target Scenario/Category;Description
29;EcoCar Basic;Comprehensive;40000;1000;1600;1;Eco-friendly vehicle discount;City-based eco-friendly drivers;The 'EcoCar Basic' policy offers Comprehensive coverage with a maximum coverage amount of $40,000. It requires a deductible of $1,000 and has a premium of $1,600 for a term of 1 year(s). Additional features include eco-friendly vehicle discount. This policy is particularly suited for city-based eco-friendly drivers.
30;EcoCar Premium;Comprehensive;50000;1300;1900;1;Enhanced eco-friendly coverage;Long-distance eco-friendly vehicle drivers;The 'EcoCar Premium' policy offers Comprehensive coverage with a maximum coverage amount of $50,000. It requires a deductible of $1,300 and has a premium of $1,900 for a term of 1 year(s). Additional features include enhanced eco-friendly coverage. This policy is particularly suited for long-distance eco-friendly vehicle drivers.
31;FamilySafe Gold;Comprehensive;80000;1700;3300;3;Roadside assistance, accident forgiveness;Families with suburban living;The 'FamilySafe Gold' policy offers Comprehensive coverage with a maximum coverage amount of $80,000. It requires a deductible of $1,700 and has a premium of $3,300 for a term of 3 year(s). Additional features include roadside assistance, accident forgiveness. This policy is particularly suited for families with suburban living.
32;FamilySafe Platinum;Comprehensive;90000;1900;3600;3;Accident forgiveness, family protection;Long-distance family travelers;The 'FamilySafe Platinum' policy offers Comprehensive coverage with a maximum coverage amount of $90,000. It requires a deductible of $1,900 and has a premium of $3,600 for a term of 3 year(s). Additional features include accident forgiveness, family protection. This policy is particularly suited for long-distance family travelers.
33;FullProtect Premium;Comprehensive;100000;2000;4000;3;Enhanced coverage for luxury vehicles;Luxury vehicle with city travel;The 'FullProtect Premium' policy offers Comprehensive coverage with a maximum coverage amount of $100,000. It requires a deductible of $2,000 and has a premium of $4,000 for a term of 3 year(s). Additional features include enhanced coverage for luxury vehicles. This policy is particularly suited for luxury vehicle with city travel.
34;FullProtect Elite;Comprehensive;120000;2400;4500;3;Luxury vehicle and accident forgiveness;Luxury vehicle with long-distance travel;The 'FullProtect Elite' policy offers Comprehensive coverage with a maximum coverage amount of $120,000. It requires a deductible of $2,400 and has a premium of $4,500 for a term of 3 year(s). Additional features include luxury vehicle and accident forgiveness. This policy is particularly suited for luxury vehicle with long-distance travel.
35;BudgetDrive Basic;Collision Only;40000;1000;1800;2;No additional features;Low-budget drivers, within city limits;The 'BudgetDrive Basic' policy offers Collision Only coverage with a maximum coverage amount of $40,000. It requires a deductible of $1,000 and has a premium of $1,800 for a term of 2 year(s). Additional features include no additional features. This policy is particularly suited for low-budget drivers, within city limits.
36;BudgetDrive Premium;Collision Only;50000;1200;2100;2;OEM parts guarantee;Low-budget drivers, long-distance;The 'BudgetDrive Premium' policy offers Collision Only coverage with a maximum coverage amount of $50,000. It requires a deductible of $1,200 and has a premium of $2,100 for a term of 2 year(s). Additional features include oem parts guarantee. This policy is particularly suited for low-budget drivers, long-distance.
37;SafeGuard Complete;Comprehensive;95000;2000;4000;3;Enhanced accident coverage, legal assistance;Long-distance travelers;The 'SafeGuard Complete' policy offers Comprehensive coverage with a maximum coverage amount of $95,000. It requires a deductible of $2,000 and has a premium of $4,000 for a term of 3 year(s). Additional features include enhanced accident coverage, legal assistance. This policy is particularly suited for long-distance travelers.
38;SafeGuard Premium;Comprehensive;110000;2400;4500;3;Accident forgiveness, extended protection;Luxury or frequent long-distance travelers;The 'SafeGuard Premium' policy offers Comprehensive coverage with a maximum coverage amount of $110,000. It requires a deductible of $2,400 and has a premium of $4,500 for a term of 3 year(s). Additional features include accident forgiveness, extended protection. This policy is particularly suited for luxury or frequent long-distance travelers.
